point,era,event_class,first_fired_at,last_active_at,max_severity,max_confidence,fired_conditions
musina,modern,flash_flood,2013-01-15 19:00:00,2013-01-15 21:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
thohoyandou,modern,flash_flood,2013-01-15 19:00:00,2013-01-15 21:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
thohoyandou,modern,flood,2013-01-20 08:00:00,2013-01-21 09:00:00,severe,1.0,rain_24|rain_48|rsat_24|rsat_72
musina,modern,flood,2013-01-20 14:00:00,2013-01-21 06:00:00,severe,1.0,rain_24|rain_48|rsat_24|rsat_72
pafuri,modern,flood,2013-01-21 00:00:00,2013-01-21 18:00:00,severe,1.0,rain_24|rain_48|rsat_24|rsat_72
mapai,modern,flood,2013-01-21 01:00:00,2013-01-22 06:00:00,severe,1.0,rain_24|rain_48|rsat_24|rsat_72
xai_xai,modern,flash_flood,2013-01-21 07:00:00,2013-01-21 11:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
chokwe,modern,flood,2013-01-21 10:00:00,2013-01-22 03:00:00,severe,1.0,rain_24|rain_48|rsat_24|rsat_72
xai_xai,modern,flood,2013-01-21 13:00:00,2013-01-22 10:00:00,severe,1.0,rain_24|rain_48|rsat_24|rsat_72
thohoyandou,modern,flash_flood,2013-02-04 23:00:00,2013-02-05 04:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
musina,modern,flash_flood,2013-02-05 02:00:00,2013-02-05 13:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
pafuri,modern,flash_flood,2013-02-05 02:00:00,2013-02-05 10:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
thohoyandou,modern,flood,2013-02-05 04:00:00,2013-02-06 00:00:00,severe,1.0,rain_24|rain_48|rsat_24|rsat_72
pafuri,modern,flash_flood,2013-04-21 02:00:00,2013-04-21 07:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
mapai,modern,flash_flood,2013-04-21 03:00:00,2013-04-21 08:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
musina,modern,flash_flood,2013-11-21 11:00:00,2013-11-22 01:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
pafuri,modern,flash_flood,2013-11-21 11:00:00,2013-11-21 22:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
thohoyandou,modern,flash_flood,2013-11-21 11:00:00,2013-11-21 18:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
chokwe,modern,flash_flood,2013-12-27 08:00:00,2013-12-28 02:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
xai_xai,modern,flash_flood,2013-12-27 09:00:00,2013-12-27 22:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
chokwe,modern,flash_flood,2013-12-29 11:00:00,2013-12-29 19:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
mapai,modern,flash_flood,2013-12-30 20:00:00,2013-12-30 23:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
pafuri,modern,flood,2013-12-31 03:00:00,2014-01-01 04:00:00,severe,1.0,rain_24|rain_48|rsat_24|rsat_72
thohoyandou,modern,flood,2013-12-31 03:00:00,2013-12-31 17:00:00,severe,1.0,rain_24|rain_48|rsat_24|rsat_72
mapai,modern,flood,2013-12-31 14:00:00,2014-01-01 00:00:00,severe,1.0,rain_24|rain_48|rsat_24|rsat_72
musina,modern,flash_flood,2014-01-06 07:00:00,2014-01-06 18:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
pafuri,modern,flash_flood,2014-01-06 12:00:00,2014-01-07 03:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
thohoyandou,modern,flash_flood,2014-01-06 12:00:00,2014-01-07 04:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
