point,era,event_class,first_fired_at,last_active_at,max_severity,max_confidence,fired_conditions
xai_xai,modern,flood,2021-12-17 09:00:00,2021-12-18 00:00:00,severe,1.0,rain_24|rain_48|rsat_24|rsat_72
thohoyandou,modern,flash_flood,2022-03-26 08:00:00,2022-03-26 22:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
mapai,modern,flash_flood,2022-03-26 14:00:00,2022-03-27 04:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
pafuri,modern,flash_flood,2022-03-26 14:00:00,2022-03-27 03:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
xai_xai,modern,flash_flood,2022-04-16 05:00:00,2022-04-16 06:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
xai_xai,modern,flash_flood,2022-11-13 23:00:00,2022-11-14 00:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
xai_xai,modern,flood,2022-11-14 02:00:00,2022-11-14 23:00:00,severe,1.0,rain_24|rain_48|rsat_24|rsat_72
mapai,modern,flash_flood,2022-11-27 10:00:00,2022-11-28 05:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
chokwe,modern,flash_flood,2022-11-27 11:00:00,2022-11-28 01:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
xai_xai,modern,flash_flood,2022-12-18 07:00:00,2022-12-18 09:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
chokwe,modern,flash_flood,2023-01-06 00:00:00,2023-01-06 22:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
thohoyandou,modern,flash_flood,2023-01-06 02:00:00,2023-01-06 16:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
mapai,modern,flash_flood,2023-01-06 06:00:00,2023-01-07 05:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
pafuri,modern,flash_flood,2023-01-06 07:00:00,2023-01-06 22:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
xai_xai,modern,flash_flood,2023-01-06 14:00:00,2023-01-07 00:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
mapai,modern,flood,2023-01-06 23:00:00,2023-01-07 18:00:00,severe,1.0,rain_24|rain_48|rsat_24|rsat_72
xai_xai,modern,flash_flood,2023-02-11 07:00:00,2023-02-11 14:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
