event_class,feature,lead_h,auc,abs_auc,cliffs_delta,robust_d,median_event,median_control,n_event,n_control
flash_flood,precip_1h,6,0.7157043572409617,0.7157043572409617,0.4314087144819234,1.0,0.20000000298023224,0.0,1472,2944
flash_flood,precip_sum_3h,6,0.7355852036935846,0.7355852036935846,0.4711704073871692,1.0,0.6000000238418579,0.0,1472,2944
flash_flood,precip_sum_6h,6,0.749552793448724,0.749552793448724,0.4991055868974481,1.0,1.4000000953674316,0.0,1472,2944
flash_flood,precip_sum_12h,6,0.7604411653399693,0.7604411653399693,0.5208823306799386,0.9714285731315613,3.4000000953674316,0.0,1472,2944
flash_flood,precip_sum_24h,6,0.7636586064877717,0.7636586064877717,0.5273172129755435,0.9000000357627869,6.5,0.20000000298023224,1472,2944
flash_flood,precip_sum_48h,6,0.7334997397064036,0.7334997397064036,0.4669994794128072,0.7366336584091187,10.699999809265137,1.399999976158142,1472,2944
flash_flood,precip_sum_72h,6,0.7097159892264295,0.7097159892264295,0.41943197845285907,0.5786516070365906,13.699999809265137,3.4000000953674316,1472,2944
flash_flood,api_96h,6,0.6756316042577386,0.6756316042577386,0.3512632085154772,0.497728168964386,25.062362670898438,12.350184440612793,1472,2944
flash_flood,wet_spell_h,6,0.7087391959696951,0.7087391959696951,0.4174783919393903,1.0,1.0,0.0,1472,2944
flash_flood,wet_frac_72h,6,0.6852840430795132,0.6852840430795132,0.37056808615902637,0.5263158082962036,0.25,0.1111111119389534,1472,2944
flash_flood,sm_0_7,6,0.6264465582788993,0.6264465582788993,0.25289311655779856,0.35891085863113403,0.3725000023841858,0.30000001192092896,1472,2942
flash_flood,sm_delta_7d,6,0.6711741699067162,0.6711741699067162,0.3423483398134324,0.44927579164505005,0.030000001192092896,-0.0010000169277191162,1472,2941
flash_flood,sm_pct,6,0.7273227830446606,0.7273227830446606,0.45464556608932116,0.6106194853782654,0.8731117844581604,0.45619335770606995,1472,2942
flash_flood,sm_sat_ratio,6,0.7021571157710321,0.7021571157710321,0.40431423154206425,0.5156553983688354,0.9291493892669678,0.8172253370285034,1444,2884
flash_flood,sm_7_28,6,0.5867377310983359,0.5867377310983359,0.17347546219667187,0.22311830520629883,0.3384999930858612,0.296999990940094,1472,2942
flash_flood,sm2_delta_7d,6,0.6379732104578448,0.6379732104578448,0.27594642091568966,0.25,0.006999999284744263,-0.00299999862909317,1472,2941
flash_flood,mslp_hpa,6,0.3275521464068407,0.6724478535931593,-0.34489570718631857,-0.4285714328289032,1012.0999755859375,1015.0999755859375,1472,2944
flash_flood,mslp_tend_3h,6,0.3933820814626654,0.6066179185373346,-0.2132358370746692,-0.2631578743457794,-0.6000000238418579,-0.10000000149011612,1472,2944
flash_flood,mslp_tend_6h,6,0.3807181518785444,0.6192818481214556,-0.23856369624291118,-0.3333333432674408,-0.800000011920929,0.20000000298023224,1472,2944
flash_flood,mslp_tend_24h,6,0.36562977666440216,0.6343702233355979,-0.2687404466711957,-0.3181818127632141,-1.5,-0.10000000149011612,1472,2944
flash_flood,gust,6,0.6345571362904655,0.6345571362904655,0.269114272580931,0.33333343267440796,8.100000381469727,6.5,1472,2944
flash_flood,gust_delta_6h,6,0.548493296978379,0.548493296978379,0.09698659395675802,0.15000005066394806,1.0,0.39999985694885254,1472,2944
flash_flood,gust_max_24h,6,0.6341737339762523,0.6341737339762523,0.26834746795250464,0.29787227511405945,11.199999809265137,9.800000190734863,1472,2944
flash_flood,wspd_10m,6,0.5790484884510869,0.5790484884510869,0.15809697690217384,0.21873386204242706,3.35335636138916,2.785677671432495,1472,2944
flash_flood,wspd_delta_6h,6,0.5235366100174268,0.5235366100174268,0.04707322003485359,0.04434579238295555,0.1388942003250122,0.06581288576126099,1472,2944
flash_flood,gust_factor,6,0.5583357639709358,0.5583357639709358,0.11667152794187152,0.1385790854692459,2.3916847705841064,2.241615056991577,1472,2944
flash_flood,dir_veer_6h,6,0.49916170404162197,0.500838295958378,-0.001676591916756065,-0.008413183502852917,19.8759822845459,20.16069793701172,1312,2569
flash_flood,dewpoint_dep,6,0.30645555809900754,0.6935444419009924,-0.3870888838019849,-0.4190143048763275,2.3249998092651367,5.30000114440918,1472,2944
flash_flood,theta_e,6,0.6150888828789579,0.6150888828789579,0.23017776575791582,0.30445340275764465,326.56402587890625,317.56451416015625,1472,2944
flash_flood,theta_e_delta_24h,6,0.589600763158672,0.589600763158672,0.1792015263173441,0.19755850732326508,1.8465375900268555,0.4442456364631653,1472,2944
flash_flood,tcwv,6,0.7262437593447914,0.7262437593447914,0.4524875186895827,0.5529661178588867,37.349998474121094,24.299999237060547,1472,2937
flash_flood,tcwv_anom_7d,6,0.7962699016298797,0.7962699016298797,0.5925398032597593,0.7713298201560974,8.67440414428711,0.17738021910190582,1472,2937
flash_flood,blh,6,0.5143757124246865,0.5143757124246865,0.028751424849372986,0.03448275849223137,560.0,535.0,1472,2937
flash_flood,blh_delta_24h,6,0.5078407194194017,0.5078407194194017,0.015681438838803352,0.0,0.0,0.0,1472,2937
flash_flood,snow_accum_14d,6,0.49487420065867205,0.505125799341328,-0.010251598682655905,,0.0,0.0,1472,2944
flash_flood,snowmelt_proxy,6,0.5125581276213965,0.5125581276213965,0.02511625524279304,,0.0,0.0,1472,2944
flash_flood,rain_on_sat_6h,6,0.7511447541970857,0.7511447541970857,0.5022895083941714,1.0682170391082764,0.9367069602012634,0.0,1472,2942
flash_flood,rain_on_sat_24h,6,0.7667053293012739,0.7667053293012739,0.5334106586025478,0.9189225435256958,5.148489475250244,0.025981873273849487,1472,2942
flash_flood,rain_on_sat_72h,6,0.7271681863860727,0.7271681863860727,0.45433637277214545,0.7047669887542725,11.342748641967773,1.1858006715774536,1472,2942
flash_flood,precip_1h,12,0.6598774958648393,0.6598774958648393,0.3197549917296787,0.0,0.0,0.0,1472,2944
flash_flood,precip_sum_3h,12,0.6840449947941281,0.6840449947941281,0.3680899895882561,0.5,0.20000000298023224,0.0,1472,2944
flash_flood,precip_sum_6h,12,0.69858613041263,0.69858613041263,0.3971722608252599,0.6000000238418579,0.6000000238418579,0.0,1472,2944
flash_flood,precip_sum_12h,12,0.7099977431991376,0.7099977431991376,0.4199954863982751,0.6538461446762085,1.7000000476837158,0.0,1472,2944
flash_flood,precip_sum_24h,12,0.7090942152055766,0.7090942152055766,0.41818843041115317,0.6724137663841248,4.099999904632568,0.20000000298023224,1472,2944
flash_flood,precip_sum_48h,12,0.6836940138010987,0.6836940138010987,0.36738802760219746,0.5426695942878723,7.5,1.3000000715255737,1472,2944
flash_flood,precip_sum_72h,12,0.6686778654448251,0.6686778654448251,0.3373557308896502,0.49685534834861755,11.199999809265137,3.3000001907348633,1472,2944
flash_flood,api_96h,12,0.6439316286256498,0.6439316286256498,0.2878632572512996,0.3908727765083313,21.567914962768555,12.286711692810059,1472,2944
flash_flood,wet_spell_h,12,0.6558257537437973,0.6558257537437973,0.3116515074875945,0.0,0.0,0.0,1472,2944
flash_flood,wet_frac_72h,12,0.6488656691206877,0.6488656691206877,0.2977313382413753,0.3888888955116272,0.2083333283662796,0.1111111119389534,1472,2944
flash_flood,sm_0_7,12,0.6040818828880088,0.6040818828880088,0.20816376577601758,0.2929292917251587,0.35899999737739563,0.3009999990463257,1472,2942
flash_flood,sm_delta_7d,12,0.6335612609582661,0.6335612609582661,0.2671225219165323,0.35820889472961426,0.021999984979629517,-0.0020000003278255463,1472,2941
flash_flood,sm_pct,12,0.6779867058419294,0.6779867058419294,0.3559734116838589,0.49090903997421265,0.7938461303710938,0.4615384638309479,1472,2942
