event_id,label,event_class,point_peak_precip,nbhd_max_precip,precip_displacement_deg,point_peak_gust,nbhd_max_gust,gust_displacement_deg
se_296617,Joplin MO EF5 2011,tornado,5.300000190734863,14.800000190734863,0.9,18.600000381469727,19.600000381469727,0.5
se_451572,Moore OK EF5 2013,tornado,7.099999904632568,15.199999809265137,0.25,18.200000762939453,18.700000762939453,0.71
se_5705284,Bridge Creek F5 1999,tornado,3.799999952316284,14.300000190734863,0.79,20.399999618530277,22.0,0.35
se_314662,Super Outbreak AL EF4 2011,tornado,5.199999809265137,13.0,1.06,21.100000381469727,24.200000762939453,0.71
se_994196,Quad-State EF4 2021,tornado,8.300000190734863,10.699999809265137,0.35,21.100000381469727,23.5,1.06
se_5607373,Fort Collins FF 1997,flash_flood,6.400000095367432,9.399999618530273,0.25,10.699999809265137,15.300000190734863,0.56
se_473899,Boulder CO FF 2013,flash_flood,3.5,8.199999809265137,0.56,10.699999809265137,11.699999809265137,0.75
se_643304,West Virginia FF 2016,flash_flood,7.099999904632568,15.399999618530273,0.56,15.399999618530272,20.200000762939453,0.79
se_1049192,E Kentucky FF 2022,flash_flood,1.600000023841858,8.600000381469727,0.79,13.199999809265137,14.300000190734863,0.9
se_5255243,TS Allison Houston 2001,flash_flood,5.699999809265137,17.399999618530273,1.06,13.699999809265137,17.5,0.56
se_1287369,TX Hill Country FF 2025,flash_flood,11.300000190734863,24.299999237060547,0.35,13.399999618530272,14.199999809265137,0.25
se_394847,June 2012 derecho,destructive_wind,0.699999988079071,2.700000047683716,0.79,15.600000381469728,16.299999237060547,0.79
se_916103,Aug 2020 Midwest derecho,destructive_wind,8.600000381469727,14.600000381469727,0.9,12.699999809265137,15.699999809265137,0.35
